graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,17,572,0,True,False,False
0,572,17,0,True,False,False
0,17,98,0,True,False,False
0,98,17,0,True,False,False
0,17,222,0,True,False,False
0,222,17,0,True,False,False
0,17,721,0,True,False,False
0,721,17,0,True,False,False
0,275,768,0,True,False,False
0,768,275,0,True,False,False
0,275,485,0,True,False,False
0,485,275,0,True,False,False
0,824,451,0,True,False,False
0,451,824,0,True,False,False
0,824,456,0,True,False,False
0,456,824,0,True,False,False
0,824,111,0,True,False,False
0,111,824,0,True,False,False
0,824,437,0,True,False,False
0,437,824,0,True,False,False
0,824,540,0,True,False,False
0,540,824,0,True,False,False
0,824,797,0,True,False,False
0,797,824,0,True,False,False
0,265,824,0,True,False,False
0,824,265,0,True,False,False
0,824,716,0,True,False,False
0,716,824,0,True,False,False
0,524,824,0,True,False,False
0,824,524,0,True,False,False
0,824,222,0,True,False,False
0,222,824,0,True,False,False
0,540,111,0,True,False,False
0,111,540,0,True,False,False
0,540,437,0,True,False,False
0,437,540,0,True,False,False
0,540,13,0,True,False,False
0,13,540,0,True,False,False
0,540,231,0,True,False,False
0,231,540,0,True,False,False
0,835,456,0,True,False,False
0,456,835,0,True,False,False
0,835,9,0,True,False,False
0,9,835,0,True,False,False
0,835,650,0,True,False,False
0,650,835,0,True,False,False
0,265,835,0,True,False,False
0,835,265,0,True,False,False
0,835,301,0,True,False,False
0,301,835,0,True,False,False
0,835,724,0,True,False,False
0,724,835,0,True,False,False
0,835,866,0,True,False,False
0,866,835,0,True,False,False
0,835,164,0,True,False,False
0,164,835,0,True,False,False
0,348,835,0,True,False,False
0,835,348,0,True,False,False
0,835,719,0,True,False,False
0,719,835,0,True,False,False
0,9,301,0,True,False,False
0,301,9,0,True,False,False
0,301,650,0,True,False,False
0,650,301,0,True,False,False
0,301,818,0,True,False,False
0,818,301,0,True,False,False
0,301,724,0,True,False,False
0,724,301,0,True,False,False
0,301,335,0,True,False,False
0,335,301,0,True,False,False
0,437,111,0,True,False,False
0,111,437,0,True,False,False
0,437,13,0,True,False,False
0,13,437,0,True,False,False
0,437,767,0,True,False,False
0,767,437,0,True,False,False
0,437,465,0,True,False,False
0,465,437,0,True,False,False
0,437,492,0,True,False,False
0,492,437,0,True,False,False
0,189,165,0,True,False,False
0,165,189,0,True,False,False
0,165,548,0,True,False,False
0,548,165,0,True,False,False
0,165,43,0,True,False,False
0,43,165,0,True,False,False
0,165,544,0,True,False,False
0,544,165,0,True,False,False
0,365,165,0,True,False,False
0,165,365,0,True,False,False
0,746,389,0,True,False,False
0,389,746,0,True,False,False
0,389,499,0,True,False,False
0,499,389,0,True,False,False
0,59,389,0,True,False,False
0,389,59,0,True,False,False
0,389,367,0,True,False,False
0,367,389,0,True,False,False
0,456,866,0,True,False,False
0,866,456,0,True,False,False
0,9,866,0,True,False,False
0,866,9,0,True,False,False
0,866,650,0,True,False,False
0,650,866,0,True,False,False
0,866,842,0,True,False,False
0,842,866,0,True,False,False
0,866,392,0,True,False,False
0,392,866,0,True,False,False
0,866,385,0,True,False,False
0,385,866,0,True,False,False
0,866,380,0,True,False,False
0,380,866,0,True,False,False
0,866,279,0,True,False,False
0,279,866,0,True,False,False
0,634,125,0,True,False,False
0,125,634,0,True,False,False
0,125,448,0,True,False,False
0,448,125,0,True,False,False
0,125,744,0,True,False,False
0,744,125,0,True,False,False
0,618,9,0,True,False,False
0,9,618,0,True,False,False
0,348,618,0,True,False,False
0,618,348,0,True,False,False
0,50,618,0,True,False,False
0,618,50,0,True,False,False
0,365,114,0,True,False,False
0,114,365,0,True,False,False
0,59,634,0,True,False,False
0,634,59,0,True,False,False
0,791,59,0,True,False,False
0,59,791,0,True,False,False
0,192,348,0,True,False,False
0,348,192,0,True,False,False
0,598,348,0,True,False,False
0,348,598,0,True,False,False
0,746,50,0,True,False,False
0,50,746,0,True,False,False
0,50,499,0,True,False,False
0,499,50,0,True,False,False
0,192,50,0,True,False,False
0,50,192,0,True,False,False
0,265,451,0,True,False,False
0,451,265,0,True,False,False
0,265,37,0,True,False,False
0,37,265,0,True,False,False
0,425,265,0,True,False,False
0,265,425,0,True,False,False
0,265,187,0,True,False,False
0,187,265,0,True,False,False
0,598,265,0,True,False,False
0,265,598,0,True,False,False
0,187,451,0,True,False,False
0,451,187,0,True,False,False
0,187,37,0,True,False,False
0,37,187,0,True,False,False
0,37,311,0,True,False,False
0,311,37,0,True,False,False
0,451,189,0,True,False,False
0,189,451,0,True,False,False
0,451,222,0,True,False,False
