node_id,x,y,z
0,41.66378600000001,1.9142129999999995,25.5
1,44.850856500000006,0.49963100000000005,25.499999999999996
2,44.85085649999999,3.262130999999999,25.5
3,41.663786,1.9142129999999997,22.5
4,38.66037088348212,2.029713964876091,25.5
5,41.663786000000016,4.6767129999999995,25.5
6,44.850856500000006,0.49963100000000005,22.500000000000004
7,47.76207149999999,0.4996310000000001,25.5
8,44.8508565,3.262131,22.5
9,47.7620715,3.2621310000000006,25.499999999999996
10,44.84777943423431,6.404665160921265,25.499999999999993
11,41.663786000000016,1.9142130000000002,19.500000000000007
12,41.663786,4.676713,22.5
13,38.660370883482116,2.029713964876089,22.499999999999993
14,35.1379157068759,2.029714151212724,25.500000000000004
15,37.70927250000001,3.275791000000001,25.500000000000004
16,37.7092725,4.561431499999999,25.499999999999996
17,36.89914302924807,6.088049401837002,25.499999999999993
18,44.850856500000006,0.499631,19.499999999999996
19,47.7620715,0.49963099999999994,22.499999999999996
20,44.8508565,3.262131,19.500000000000004
21,44.84777943423433,6.404665160921266,22.5
22,47.76207149999999,3.2621309999999997,22.499999999999993
23,48.3868735,5.8833899999999995,25.499999999999996
24,40.53942395557889,9.880785461242962,25.5
25,43.772001499999995,9.522138499999999,25.5
26,47.335787,10.2771985,25.5
27,48.3868735,7.399236999999999,25.5
28,41.663786,1.9142129999999997,16.499999999999996
29,41.66378600000001,4.676713,19.499999999999996
30,38.66037088348212,2.0297139648760893,19.499999999999996
31,36.89914302924809,6.088049401837004,22.5
32,37.709272500000004,3.275791,22.499999999999996
33,37.709272500000004,4.561431500000001,22.500000000000004
34,35.1379157068759,2.029714151212721,22.499999999999996
35,32.1345015,1.9142129999999997,25.5
36,32.1345015,4.6767129999999995,25.500000000000007
37,36.08901400000001,4.5614315,25.500000000000004
38,36.089014000000006,3.275791,25.5
39,33.975753999999995,7.43587,25.499999999999996
40,36.89914350000003,9.375500500000008,13.500000000000004
41,39.82325013216862,7.435797690958653,25.5
42,28.950507268802802,6.404664938839591,25.499999999999993
43,33.2595826612106,9.880797414705398,25.5
44,44.850856500000006,0.499631,16.499999999999996
45,47.7620715,0.49963099999999994,19.5
46,44.8508565,3.262131,16.5
47,44.84777943423433,6.404665160921266,19.5
48,47.76207149999999,3.262131,19.499999999999996
49,40.5394239555789,9.880785461242965,22.5
50,43.772001499999995,9.522138499999999,22.5
51,47.33578699999999,10.2771985,22.5
52,48.38687350000001,7.399237000000002,22.499999999999996
53,48.38687349999999,5.883390000000001,22.5
54,41.663786,1.914213,13.5
55,41.663785999999995,4.676713,16.499999999999996
56,38.660370883482116,2.029713964876089,16.499999999999996
57,36.89914302924808,6.088049401837003,19.5
58,37.709272500000004,3.2757910000000003,19.500000000000004
59,37.709272500000004,4.5614315,19.500000000000004
60,35.137915706875894,2.029714151212721,19.499999999999996
61,33.97575400000001,7.435870000000001,22.5
62,39.8232501321686,7.435797690958651,22.499999999999996
63,36.089014000000006,4.561431499999999,22.5
64,32.1345015,4.676713,22.500000000000004
65,28.950507268802806,6.404664938839591,22.499999999999996
66,33.25958266121061,9.880797414705398,22.499999999999996
67,36.089014000000006,3.2757910000000003,22.500000000000007
68,32.134501500000006,1.9142129999999997,22.500000000000007
69,28.9474305,0.4996309999999999,25.5
70,28.947430499999996,3.262131,25.5
71,33.259582661210594,9.880797414705398,1.5
72,33.25958266121061,9.880797414705404,4.5
73,33.2595826612106,9.8807974147054,7.499999999999999
74,33.2595826612106,9.880797414705398,10.500000000000002
75,33.2595826612106,9.880797414705398,13.5
76,33.2595826612106,9.880797414705398,16.5
77,33.25958266121061,9.8807974147054,19.500000000000004
78,33.975754,7.4358699999999995,1.4999999999999996
79,36.89914302924809,6.088049401837004,1.5000000000000002
80,33.975754000000016,7.435870000000001,4.500000000000001
81,33.975754,7.43587,7.5
82,33.97575399999999,7.4358699999999995,10.5
83,33.97575399999999,7.4358699999999995,13.499999999999998
84,33.975753999999995,7.43587,16.499999999999996
85,33.975753999999995,7.43587,19.499999999999996
86,36.89914302924808,6.088049401837002,16.5
87,36.89914302924809,6.088049401837004,4.500000000000001
88,36.89914302924807,6.088049401837004,7.499999999999999
89,36.89914302924807,6.088049401837003,10.5
90,36.899143029248066,6.088049401837002,13.499999999999998
91,25.411413999999997,5.8833899999999995,25.499999999999996
92,25.411414,7.399237,25.500000000000004
93,26.4624995,10.2771985,25.5
94,30.0262845,9.5221385,25.500000000000004
95,26.036215499999994,3.262130999999999,25.49999999999999
96,44.850856500000006,0.499631,13.499999999999998
97,47.762071500000005,0.49963099999999994,16.500000000000004
98,44.8508565,3.2621309999999997,13.5
99,44.84777943423434,6.404665160921266,16.499999999999996
100,47.762071500000005,3.2621310000000006,16.5
101,48.3868735,5.8833899999999995,19.5
102,40.5394239555789,9.880785461242963,19.499999999999996
103,43.77200149999999,9.522138499999999,19.499999999999993
104,47.335787,10.277198500000004,19.5
105,48.38687349999999,7.399237,19.499999999999996
106,41.663786,1.914213,10.5
107,41.663785999999995,4.676713,13.499999999999996
108,38.66037088348213,2.0297139648760893,13.500000000000002
109,37.709272500000004,3.2757910000000003,16.500000000000004
110,37.709272500000004,4.5614315,16.5
111,35.137915706875894,2.029714151212721,16.499999999999993
112,36.089014,4.561431499999999,19.5
113,39.82325013216861,7.435797690958653,19.5
114,32.13450149999999,4.6767129999999995,19.500000000000004
115,28.95050726880281,6.404664938839592,19.499999999999993
116,36.089014,3.275791,19.5
117,32.1345015,1.914213,19.500000000000004
118,28.9474305,3.262131,22.500000000000004
119,30.0262845,9.5221385,22.5
120,26.036215499999997,3.2621309999999997,22.499999999999996
121,25.411414000000004,5.8833899999999995,22.500000000000004
122,25.411414000000004,7.399237000000001,22.500000000000004
123,26.462499500000007,10.277198500000003,22.5
124,28.9474305,0.49963100000000005,22.5
125,26.036215500000004,0.4996309999999998,25.500000000000004
126,28.950507268802816,6.404664938839594,1.5000000000000002
127,30.0262845,9.522138500000002,1.5
128,28.950507268802816,6.404664938839594,4.500000000000001
129,30.0262845,9.522138499999999,4.499999999999999
130,28.950507268802816,6.404664938839594,7.5
131,30.026284499999992,9.522138499999999,7.499999999999998
132,28.950507268802816,6.404664938839594,10.500000000000002
133,30.0262845,9.522138499999999,10.5
134,28.950507268802816,6.404664938839592,13.500000000000002
135,30.026284499999996,9.522138499999997,13.5
136,28.950507268802816,6.404664938839593,16.499999999999993
137,30.026284499999996,9.522138499999999,16.5
138,30.026284499999996,9.522138499999999,19.499999999999996
139,40.539423955578904,9.880785461242963,16.500000000000007
140,40.539423955578904,9.880785461242963,13.499999999999998
141,40.539423955578904,9.880785461242965,10.499999999999998
142,40.539423955578904,9.880785461242965,7.5
143,40.539423955578904,9.880785461242963,4.5
144,40.53942395557889,9.880785461242963,1.4999999999999993
145,39.8232501321686,7.435797690958653,1.5
146,44.84777943423433,6.404665160921266,1.5
147,41.663785999999995,4.6767129999999995,1.5
148,38.660370883482116,2.0297139648760893,1.5000000000000002
149,37.7092725,4.5614315,1.4999999999999996
150,36.089014000000006,4.5614315,1.5
151,35.13791570687591,2.0297141512127213,1.4999999999999998
152,32.1345015,4.676713,1.5000000000000004
153,39.8232501321686,7.435797690958653,16.5
154,39.8232501321686,7.435797690958653,13.499999999999998
155,39.82325013216861,7.435797690958652,10.5
156,39.82325013216861,7.435797690958652,7.499999999999999
157,39.82325013216861,7.435797690958652,4.499999999999999
158,36.089014000000006,4.5614314999999985,16.500000000000004
159,32.1345015,4.6767129999999995,16.500000000000004
160,44.847779434234326,6.404665160921265,4.499999999999999
161,41.663785999999995,4.676713,4.5
162,38.66037088348213,2.0297139648760893,4.500000000000002
163,37.7092725,4.5614315,4.5
164,36.089014000000006,4.5614315,4.5
165,35.13791570687591,2.0297141512127213,4.5
166,32.1345015,4.676713,4.500000000000001
167,32.13450149999999,4.6767129999999995,7.500000000000003
168,44.84777943423432,6.404665160921266,7.499999999999999
169,41.66378600000001,4.6767129999999995,7.499999999999998
170,38.66037088348212,2.0297139648760893,7.499999999999998
171,37.709272500000004,4.5614315,7.500000000000001
172,36.089014000000006,4.5614315,7.500000000000001
173,35.137915706875894,2.029714151212721,7.5
174,38.66037088348212,2.0297139648760893,10.5
175,37.70927250000001,4.561431499999999,10.500000000000002
176,41.66378599999999,4.676712999999999,10.5
177,36.089014,4.561431499999999,10.500000000000002
178,44.84777943423434,6.404665160921267,10.5
179,35.137915706875894,2.029714151212721,10.5
180,32.1345015,4.676713,10.5
181,37.7092725,4.5614315,13.499999999999996
182,36.089014,4.5614315,13.499999999999998
183,44.84777943423434,6.404665160921266,13.499999999999998
184,35.137915706875894,2.029714151212721,13.499999999999998
185,32.1345015,4.676713000000001,13.500000000000004
186,23.788585499999996,5.8833899999999995,25.5
187,23.7885855,7.399237,25.500000000000004
188,22.7375,10.277198500000003,25.499999999999996
189,23.163784999999997,3.262131,25.499999999999996
190,44.850856500000006,0.499631,10.499999999999998
191,47.762071500000005,0.49963099999999994,13.5
192,44.850856500000006,3.2621309999999997,10.500000000000002
193,47.7620715,3.2621310000000006,13.499999999999998
194,48.3868735,5.8833899999999995,16.5
195,43.772001499999995,9.5221385,16.5
196,47.335787,10.277198500000003,16.5
197,48.38687349999999,7.399237,16.499999999999996
198,41.66378600000001,1.9142130000000002,7.500000000000001
199,37.7092725,3.275791,13.499999999999998
200,36.089014,3.275791,16.500000000000004
201,32.1345015,1.9142129999999997,16.5
202,28.947430499999996,3.262130999999999,19.499999999999993
203,26.0362155,3.262131,19.5
204,25.411414,5.883390000000001,19.5
