room_name,room_type,x,y,z,depth,degree
balcony_d_9_15,balcony,12.300855529248082,6.088049408643079,25.5,6,6
balcony_d_8_15,balcony,12.300855529248084,6.088049408643079,22.5,6,6
balcony_d_9_20,balcony,14.062082759851082,2.0297135433006264,25.5,10,3
balcony_d_9_9,balcony,9.377465499999998,7.43587,25.5,12,1
balcony_d_9_19,balcony,13.110985500000002,4.5614315,25.500000000000004,11,2
balcony_d_9_7,balcony,11.490726,4.561431499999999,25.5,11,2
balcony_d_9_8,balcony,10.539628649791036,2.0297133569640176,25.5,10,3
balcony_d_9_16,balcony,7.536214500000001,4.6767129999999995,25.500000000000007,8,4
balcony_d_9_14,balcony,4.352219196730165,6.404665071193748,25.499999999999996,8,7
balcony_d_9_10,balcony,8.661294687165313,9.88079761954666,25.500000000000004,10,2
balcony_d_7_15,balcony,12.300855529248086,6.088049408643078,19.5,6,6
balcony_d_8_20,balcony,14.062082759851084,2.029713543300627,22.500000000000007,10,3
balcony_d_8_9,balcony,9.3774655,7.4358699999999995,22.499999999999993,12,1
balcony_d_8_19,balcony,13.110985499999998,4.561431499999999,22.499999999999996,11,2
balcony_d_8_7,balcony,11.490726,4.561431499999999,22.5,11,2
balcony_d_8_8,balcony,10.53962864979104,2.0297133569640176,22.5,10,3
balcony_d_8_16,balcony,7.5362145000000025,4.676713000000001,22.500000000000007,8,4
balcony_d_8_14,balcony,4.352219196730165,6.404665071193749,22.5,8,7
balcony_d_8_10,balcony,8.661294687165316,9.88079761954666,22.500000000000007,10,2
balcony_d_1_15,balcony,12.300855529248087,6.088049408643079,1.5000000000000002,6,6
balcony_d_2_15,balcony,12.300855529248087,6.088049408643079,4.500000000000002,6,6
balcony_d_3_15,balcony,12.300855529248086,6.088049408643079,7.5000000000000036,6,6
balcony_d_4_15,balcony,12.300855529248087,6.08804940864308,10.500000000000002,6,6
balcony_d_5_15,balcony,12.300855529248086,6.088049408643079,13.5,6,6
balcony_d_6_15,balcony,12.300855529248086,6.088049408643078,16.500000000000004,2,6
balcony_d_9_18,balcony,13.110985499999998,3.2757910000000003,25.5,12,1
balcony_d_7_10,balcony,8.661294687165316,9.880797619546659,19.499999999999996,10,2
balcony_d_6_10,balcony,8.661294687165316,9.880797619546659,16.5,6,2
balcony_d_5_10,balcony,8.661294687165316,9.880797619546655,13.499999999999998,10,2
balcony_d_4_10,balcony,8.661294687165316,9.880797619546659,10.5,10,2
balcony_d_3_10,balcony,8.661294687165315,9.880797619546655,7.499999999999999,10,2
balcony_d_2_10,balcony,8.661294687165316,9.880797619546659,4.499999999999998,10,2
balcony_d_1_10,balcony,8.661294687165316,9.880797619546659,1.4999999999999998,10,2
balcony_d_1_9,balcony,9.3774655,7.43587,1.4999999999999998,12,1
balcony_d_7_9,balcony,9.377465500000001,7.435870000000001,19.5,12,1
balcony_d_6_9,balcony,9.377465500000001,7.435870000000001,16.5,8,1
balcony_d_5_9,balcony,9.3774655,7.435870000000001,13.500000000000004,12,1
balcony_d_4_9,balcony,9.377465500000003,7.435870000000001,10.499999999999998,12,1
balcony_d_3_9,balcony,9.377465500000001,7.435870000000001,7.500000000000001,12,1
balcony_d_2_9,balcony,9.3774655,7.43587,4.5,12,1
balcony_d_9_6,balcony,11.490726000000002,3.2757910000000003,25.500000000000007,11,2
balcony_d_9_17,balcony,7.5362145,1.914213,25.499999999999996,10,1
balcony_d_9_3,balcony,4.349142999999999,3.2621309999999992,25.499999999999993,10,2
balcony_d_9_13,balcony,0.8131260000000001,5.88339,25.5,10,1
balcony_d_9_2,balcony,0.8131259999999998,7.3992369999999985,25.500000000000004,10,1
balcony_d_9_1,balcony,1.8642119999999993,10.2771985,25.500000000000004,10,1
balcony_d_9_11,balcony,5.4279969999999995,9.522138500000002,25.499999999999996,10,1
balcony_d_9_12,balcony,1.4379274999999987,3.2621310000000014,25.499999999999996,10,2
balcony_d_7_20,balcony,14.062082759851082,2.0297135433006273,19.500000000000007,10,3
balcony_d_7_19,balcony,13.1109855,4.5614315,19.5,11,2
balcony_d_7_7,balcony,11.490726,4.561431499999999,19.499999999999996,11,2
balcony_d_7_8,balcony,10.539628649791036,2.0297133569640176,19.499999999999996,10,3
balcony_d_7_16,balcony,7.536214499999999,4.6767129999999995,19.5,8,4
balcony_d_7_14,balcony,4.352219196730164,6.404665071193748,19.499999999999993,8,7
balcony_d_8_18,balcony,13.110985500000002,3.2757910000000003,22.5,12,1
balcony_d_8_6,balcony,11.490726000000002,3.275791,22.5,11,2
balcony_d_8_17,balcony,7.536214500000002,1.9142129999999995,22.500000000000007,10,1
balcony_d_8_3,balcony,4.349143000000001,3.262131000000001,22.5,10,2
balcony_d_8_11,balcony,5.4279969999999995,9.522138500000002,22.5,10,1
balcony_d_8_12,balcony,1.4379274999999987,3.2621310000000006,22.499999999999996,10,2
balcony_d_8_13,balcony,0.8131260000000008,5.88339,22.500000000000004,10,1
balcony_d_8_2,balcony,0.8131260000000001,7.399237,22.5,10,1
balcony_d_8_1,balcony,1.8642119999999995,10.2771985,22.499999999999996,10,1
balcony_d_1_20,balcony,14.062082759851082,2.0297135433006273,1.5,10,3
balcony_d_1_19,balcony,13.1109855,4.561431499999999,1.5,11,2
balcony_d_1_7,balcony,11.490726,4.5614315,1.5000000000000002,11,2
balcony_d_1_8,balcony,10.539628649791036,2.0297133569640176,1.5,10,3
balcony_d_1_16,balcony,7.5362145,4.6767129999999995,1.5000000000000002,8,4
balcony_d_1_14,balcony,4.352219196730166,6.40466507119375,1.5000000000000002,8,7
balcony_d_2_20,balcony,14.062082759851082,2.029713543300627,4.5,10,3
