room_name,room_type,depth,degree
corridor_6_32,corridor,-1,4
corridor_7_15,corridor,-1,6
corridor_8_16,corridor,-1,4
corridor_8_14,corridor,-1,7
corridor_1_15,corridor,-1,6
corridor_6_15,corridor,-1,6
corridor_2_15,corridor,-1,6
corridor_3_15,corridor,-1,6
corridor_4_15,corridor,-1,6
corridor_5_15,corridor,-1,6
corridor_6_31,corridor,-1,7
corridor_5_32,corridor,-1,4
corridor_7_16,corridor,-1,4
corridor_7_14,corridor,-1,7
corridor_1_14,corridor,-1,7
corridor_2_14,corridor,-1,7
corridor_3_14,corridor,-1,7
corridor_4_14,corridor,-1,7
corridor_5_14,corridor,-1,7
corridor_6_14,corridor,-1,7
corridor_1_31,corridor,-1,7
corridor_1_32,corridor,-1,4
corridor_1_16,corridor,-1,4
corridor_6_16,corridor,-1,4
corridor_2_31,corridor,-1,7
corridor_2_32,corridor,-1,4
corridor_2_16,corridor,-1,4
corridor_3_16,corridor,-1,4
corridor_3_31,corridor,-1,7
corridor_3_32,corridor,-1,4
corridor_4_32,corridor,-1,4
corridor_4_31,corridor,-1,7
corridor_4_16,corridor,-1,4
corridor_5_31,corridor,-1,7
corridor_5_16,corridor,-1,4
kitchen_9_25,kitchen,-1,3
kitchen_8_25,kitchen,-1,3
kitchen_9_8,kitchen,-1,3
kitchen_9_27,kitchen,-1,2
kitchen_7_25,kitchen,-1,3
kitchen_8_8,kitchen,-1,3
kitchen_9_10,kitchen,-1,2
kitchen_8_27,kitchen,-1,2
kitchen_6_25,kitchen,-1,3
kitchen_7_8,kitchen,-1,3
kitchen_8_10,kitchen,-1,2
kitchen_1_10,kitchen,-1,2
kitchen_2_10,kitchen,-1,2
kitchen_3_10,kitchen,-1,2
kitchen_4_10,kitchen,-1,2
kitchen_5_10,kitchen,-1,2
kitchen_6_10,kitchen,-1,2
kitchen_7_10,kitchen,-1,2
kitchen_7_27,kitchen,-1,2
kitchen_5_25,kitchen,-1,3
kitchen_6_8,kitchen,-1,3
kitchen_6_27,kitchen,-1,2
kitchen_5_27,kitchen,-1,2
kitchen_4_27,kitchen,-1,2
kitchen_3_27,kitchen,-1,2
kitchen_2_27,kitchen,-1,2
kitchen_1_27,kitchen,-1,2
kitchen_1_25,kitchen,-1,3
kitchen_1_8,kitchen,-1,3
kitchen_2_25,kitchen,-1,3
kitchen_2_8,kitchen,-1,3
kitchen_3_25,kitchen,-1,3
kitchen_3_8,kitchen,-1,3
kitchen_4_25,kitchen,-1,3
kitchen_4_8,kitchen,-1,3
kitchen_5_8,kitchen,-1,3
livingroom_9_33,livingroom,-1,1
livingroom_8_33,livingroom,-1,1
livingroom_7_33,livingroom,-1,1
livingroom_9_28,livingroom,-1,1
livingroom_6_33,livingroom,-1,1
livingroom_9_17,livingroom,-1,1
livingroom_8_28,livingroom,-1,1
livingroom_5_33,livingroom,-1,1
livingroom_8_17,livingroom,-1,1
livingroom_9_11,livingroom,-1,1
livingroom_7_28,livingroom,-1,1
livingroom_4_33,livingroom,-1,1
livingroom_7_17,livingroom,-1,1
livingroom_8_11,livingroom,-1,1
livingroom_1_11,livingroom,-1,1
livingroom_2_11,livingroom,-1,1
livingroom_3_11,livingroom,-1,1
livingroom_4_11,livingroom,-1,1
livingroom_5_11,livingroom,-1,1
livingroom_6_11,livingroom,-1,1
livingroom_7_11,livingroom,-1,1
livingroom_6_28,livingroom,-1,1
livingroom_3_33,livingroom,-1,1
livingroom_6_17,livingroom,-1,1
livingroom_5_28,livingroom,-1,1
livingroom_4_28,livingroom,-1,1
livingroom_3_28,livingroom,-1,1
livingroom_2_28,livingroom,-1,1
livingroom_1_28,livingroom,-1,1
livingroom_1_33,livingroom,-1,1
livingroom_1_17,livingroom,-1,1
livingroom_2_33,livingroom,-1,1
livingroom_2_17,livingroom,-1,1
livingroom_3_17,livingroom,-1,1
livingroom_4_17,livingroom,-1,1
livingroom_5_17,livingroom,-1,1
stairs,stairs,-1,18
storeroom_9_9,storeroom,-1,1
storeroom_9_26,storeroom,-1,1
storeroom_8_9,storeroom,-1,1
storeroom_8_26,storeroom,-1,1
storeroom_1_9,storeroom,-1,1
storeroom_2_9,storeroom,-1,1
storeroom_3_9,storeroom,-1,1
storeroom_4_9,storeroom,-1,1
storeroom_5_9,storeroom,-1,1
storeroom_6_9,storeroom,-1,1
storeroom_7_9,storeroom,-1,1
storeroom_7_26,storeroom,-1,1
storeroom_1_26,storeroom,-1,1
storeroom_6_26,storeroom,-1,1
storeroom_5_26,storeroom,-1,1
storeroom_4_26,storeroom,-1,1
storeroom_3_26,storeroom,-1,1
storeroom_2_26,storeroom,-1,1
corridor_d_6_11,corridor,0,7
corridor_d_6_10,corridor,1,2
corridor_d_6_2,corridor,1,2
balcony_d_6_15,balcony,2,6
corridor_d_6_9,corridor,2,2
corridor_d_6_1,corridor,2,1
corridor_d_6_8,corridor,2,1
corridor_d_6_7,corridor,2,2
corridor_d_6_4,corridor,3,2
balcony_d_6_16,balcony,4,4
balcony_d_6_14,balcony,4,7
corridor_d_6_12,corridor,4,4
corridor_d_6_6,corridor,4,1
stairs_d_1_1,stairs,4,18
balcony_d_9_15,balcony,6,6
balcony_d_8_15,balcony,6,6
balcony_d_7_15,balcony,6,6
balcony_d_1_15,balcony,6,6
balcony_d_2_15,balcony,6,6
balcony_d_3_15,balcony,6,6
balcony_d_4_15,balcony,6,6
balcony_d_5_15,balcony,6,6
balcony_d_6_10,balcony,6,2
balcony_d_6_20,balcony,6,3
balcony_d_6_8,balcony,6,3
balcony_d_6_11,balcony,6,1
balcony_d_6_17,balcony,6,1
balcony_d_6_3,balcony,6,2
balcony_d_6_12,balcony,6,2
balcony_d_6_13,balcony,6,1
balcony_d_6_2,balcony,6,1
balcony_d_6_1,balcony,6,1
corridor_d_6_3,corridor,6,2
corridor_d_6_13,corridor,6,1
balcony_d_6_19,balcony,7,2
balcony_d_6_7,balcony,7,2
balcony_d_6_6,balcony,7,2
balcony_d_6_4,balcony,7,2
balcony_d_9_16,balcony,8,4
balcony_d_9_14,balcony,8,7
balcony_d_8_16,balcony,8,4
balcony_d_8_14,balcony,8,7
balcony_d_6_9,balcony,8,1
balcony_d_7_16,balcony,8,4
balcony_d_7_14,balcony,8,7
balcony_d_1_16,balcony,8,4
balcony_d_1_14,balcony,8,7
balcony_d_2_16,balcony,8,4
balcony_d_2_14,balcony,8,7
balcony_d_3_16,balcony,8,4
balcony_d_3_14,balcony,8,7
balcony_d_4_16,balcony,8,4
balcony_d_4_14,balcony,8,7
balcony_d_5_16,balcony,8,4
balcony_d_5_14,balcony,8,7
balcony_d_6_18,balcony,8,1
balcony_d_6_5,balcony,8,1
corridor_d_9_11,corridor,8,7
corridor_d_8_11,corridor,8,7
corridor_d_9_12,corridor,8,4
corridor_d_7_11,corridor,8,7
corridor_d_8_12,corridor,8,4
corridor_d_1_11,corridor,8,7
corridor_d_2_11,corridor,8,7
corridor_d_3_11,corridor,8,7
corridor_d_4_11,corridor,8,7
corridor_d_5_11,corridor,8,7
corridor_d_7_12,corridor,8,4
corridor_d_1_12,corridor,8,4
corridor_d_2_12,corridor,8,4
