graph_id,src_id,dst_id,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2
0,0,492,0,1,0
0,492,0,0,1,0
0,1,605,0,1,0
0,605,1,0,1,0
0,2,1059,0,1,0
0,1059,2,0,1,0
0,3,175,0,1,0
0,175,3,0,1,0
0,229,4,0,0,1
0,4,229,0,0,1
0,1021,4,0,0,1
0,4,1021,0,0,1
0,291,5,0,1,0
0,5,291,0,1,0
0,961,5,0,1,0
0,5,961,0,1,0
0,1012,6,0,1,0
0,6,1012,0,1,0
0,961,6,0,1,0
0,6,961,0,1,0
0,267,7,0,1,0
0,7,267,0,1,0
0,1024,7,0,1,0
0,7,1024,0,1,0
0,148,8,0,1,0
0,8,148,0,1,0
0,1025,8,0,1,0
0,8,1025,0,1,0
0,1088,9,0,1,0
0,9,1088,0,1,0
0,296,9,0,1,0
0,9,296,0,1,0
0,143,10,0,1,0
0,10,143,0,1,0
0,131,10,0,1,0
0,10,131,0,1,0
0,294,11,0,1,0
0,11,294,0,1,0
0,1088,11,0,1,0
0,11,1088,0,1,0
0,143,12,0,1,0
0,12,143,0,1,0
0,1124,12,0,1,0
0,12,1124,0,1,0
0,143,13,0,1,0
0,13,143,0,1,0
0,1089,13,0,1,0
0,13,1089,0,1,0
0,270,14,0,1,0
0,14,270,0,1,0
0,1025,14,0,1,0
0,14,1025,0,1,0
0,1088,15,0,1,0
0,15,1088,0,1,0
0,1024,15,0,1,0
0,15,1024,0,1,0
0,298,16,0,0,1
0,16,298,0,0,1
0,263,16,0,0,1
0,16,263,0,0,1
0,131,17,0,0,1
0,17,131,0,0,1
0,263,17,0,0,1
0,17,263,0,0,1
0,964,18,0,1,0
0,18,964,0,1,0
0,1088,18,0,1,0
0,18,1088,0,1,0
0,295,19,0,1,0
0,19,295,0,1,0
0,1088,19,0,1,0
0,19,1088,0,1,0
0,136,20,0,1,0
0,20,136,0,1,0
0,218,20,0,1,0
0,20,218,0,1,0
0,957,21,0,1,0
0,21,957,0,1,0
0,624,21,0,1,0
0,21,624,0,1,0
0,957,22,0,1,0
0,22,957,0,1,0
0,978,22,0,1,0
0,22,978,0,1,0
0,218,23,0,1,0
0,23,218,0,1,0
0,221,23,0,1,0
0,23,221,0,1,0
0,107,24,0,1,0
0,24,107,0,1,0
0,572,24,0,1,0
0,24,572,0,1,0
0,218,25,0,1,0
0,25,218,0,1,0
0,623,25,0,1,0
0,25,623,0,1,0
0,550,26,0,1,0
0,26,550,0,1,0
0,218,26,0,1,0
0,26,218,0,1,0
0,218,27,0,1,0
0,27,218,0,1,0
0,574,27,0,1,0
0,27,574,0,1,0
0,966,28,0,1,0
0,28,966,0,1,0
0,624,28,0,1,0
0,28,624,0,1,0
0,1091,29,0,1,0
0,29,1091,0,1,0
0,624,29,0,1,0
0,29,624,0,1,0
0,30,153,0,0,1
0,153,30,0,0,1
0,30,512,0,0,1
0,512,30,0,0,1
0,30,154,0,0,1
0,154,30,0,0,1
0,30,493,0,0,1
0,493,30,0,0,1
0,30,506,1,0,0
0,506,30,1,0,0
0,30,517,1,0,0
0,517,30,1,0,0
0,31,604,0,1,0
0,604,31,0,1,0
0,32,611,0,1,0
0,611,32,0,1,0
0,32,621,0,1,0
0,621,32,0,1,0
0,32,622,0,1,0
0,622,32,0,1,0
0,32,609,0,1,0
0,609,32,0,1,0
0,32,605,0,1,0
0,605,32,0,1,0
0,32,606,0,0,1
0,606,32,0,0,1
0,32,618,0,1,0
0,618,32,0,1,0
0,33,1065,0,1,0
0,1065,33,0,1,0
0,33,1055,0,1,0
0,1055,33,0,1,0
0,33,1054,0,1,0
0,1054,33,0,1,0
0,34,1059,0,1,0
0,1059,34,0,1,0
0,34,620,0,1,0
0,620,34,0,1,0
0,35,1162,0,1,0
0,1162,35,0,1,0
0,35,1147,0,1,0
0,1147,35,0,1,0
0,36,908,0,1,0
0,908,36,0,1,0
0,37,516,0,1,0
0,516,37,0,1,0
0,38,1062,1,0,0
0,1062,38,1,0,0
0,38,1066,1,0,0
0,1066,38,1,0,0
0,38,1063,1,0,0
0,1063,38,1,0,0
0,38,1070,1,0,0
0,1070,38,1,0,0
0,38,1068,1,0,0
0,1068,38,1,0,0
0,38,1052,1,0,0
0,1052,38,1,0,0
0,38,1058,1,0,0
0,1058,38,1,0,0
0,38,1067,1,0,0
0,1067,38,1,0,0
0,38,1071,1,0,0
0,1071,38,1,0,0
0,38,494,1,0,0
0,494,38,1,0,0
0,38,506,1,0,0
0,506,38,1,0,0
0,38,1061,1,0,0
0,1061,38,1,0,0
0,38,1072,1,0,0
0,1072,38,1,0,0
0,38,517,1,0,0
0,517,38,1,0,0
0,38,1053,1,0,0
0,1053,38,1,0,0
0,38,500,1,0,0
0,500,38,1,0,0
0,38,1056,1,0,0
0,1056,38,1,0,0
0,38,1241,1,0,0
0,1241,38,1,0,0
0,40,165,0,1,0
0,165,40,0,1,0
0,40,175,0,1,0
0,175,40,0,1,0
0,40,584,0,0,1
0,584,40,0,0,1
0,40,182,0,1,0
0,182,40,0,1,0
0,40,447,0,1,0
0,447,40,0,1,0
0,40,176,0,1,0
0,176,40,0,1,0
0,40,183,0,1,0
0,183,40,0,1,0
0,41,200,0,1,0
0,200,41,0,1,0
0,42,1029,0,1,0
0,1029,42,0,1,0
0,42,1030,0,1,0
0,1030,42,0,1,0
0,42,598,0,0,1
0,598,42,0,0,1
0,42,1046,0,1,0
0,1046,42,0,1,0
0,43,1095,0,1,0
0,1095,43,0,1,0
0,44,688,0,1,0
0,688,44,0,1,0
0,44,1174,0,1,0
0,1174,44,0,1,0
0,44,1033,0,1,0
0,1033,44,0,1,0
0,44,686,0,1,0
0,686,44,0,1,0
0,44,580,0,0,1
0,580,44,0,0,1
0,44,689,0,1,0
0,689,44,0,1,0
0,44,687,0,1,0
0,687,44,0,1,0
0,45,1189,0,1,0
0,1189,45,0,1,0
0,46,199,0,1,0
0,199,46,0,1,0
0,47,1179,0,1,0
0,1179,47,0,1,0
0,47,1180,0,1,0
0,1180,47,0,1,0
0,47,1097,0,1,0
0,1097,47,0,1,0
0,48,1172,0,1,0
0,1172,48,0,1,0
0,48,1161,0,1,0
0,1161,48,0,1,0
0,49,1167,0,1,0
0,1167,49,0,1,0
0,50,692,0,1,0
0,692,50,0,1,0
0,51,197,0,1,0
0,197,51,0,1,0
0,52,1137,0,1,0
0,1137,52,0,1,0
0,52,1135,0,1,0
0,1135,52,0,1,0
0,52,1132,0,1,0
0,1132,52,0,1,0
0,52,795,0,0,1
0,795,52,0,0,1
0,53,882,0,1,0
0,882,53,0,1,0
0,53,861,0,1,0
0,861,53,0,1,0
0,54,860,0,1,0
0,860,54,0,1,0
0,54,885,0,1,0
0,885,54,0,1,0
0,55,779,0,1,0
0,779,55,0,1,0
0,56,1131,0,1,0
0,1131,56,0,1,0
0,57,854,0,1,0
0,854,57,0,1,0
0,58,1137,0,1,0
0,1137,58,0,1,0
0,59,864,0,1,0
0,864,59,0,1,0
0,59,1134,0,1,0
0,1134,59,0,1,0
0,60,203,0,1,0
0,203,60,0,1,0
0,61,704,0,1,0
0,704,61,0,1,0
0,61,771,0,1,0
0,771,61,0,1,0
0,62,724,0,1,0
0,724,62,0,1,0
0,62,802,0,1,0
0,802,62,0,1,0
0,63,914,0,1,0
0,914,63,0,1,0
0,64,733,0,1,0
0,733,64,0,1,0
0,65,833,0,1,0
0,833,65,0,1,0
0,66,714,0,1,0
0,714,66,0,1,0
0,66,699,0,1,0
0,699,66,0,1,0
0,66,713,0,1,0
0,713,66,0,1,0
0,67,1110,0,1,0
0,1110,67,0,1,0
0,68,786,0,1,0
0,786,68,0,1,0
0,69,865,0,1,0
0,865,69,0,1,0
0,69,813,0,1,0
0,813,69,0,1,0
0,69,867,0,1,0
0,867,69,0,1,0
0,69,866,0,1,0
0,866,69,0,1,0
0,69,1136,0,1,0
0,1136,69,0,1,0
0,69,803,0,0,1
0,803,69,0,0,1
0,69,1134,0,1,0
0,1134,69,0,1,0
0,70,1033,0,1,0
0,1033,70,0,1,0
0,71,659,0,1,0
0,659,71,0,1,0
0,72,669,0,1,0
0,669,72,0,1,0
0,72,675,0,1,0
0,675,72,0,1,0
0,72,671,0,1,0
0,671,72,0,1,0
0,73,1032,0,1,0
0,1032,73,0,1,0
0,74,671,0,1,0
0,671,74,0,1,0
0,75,941,0,1,0
0,941,75,0,1,0
0,76,947,0,1,0
0,947,76,0,1,0
0,76,945,0,1,0
0,945,76,0,1,0
0,76,647,0,1,0
0,647,76,0,1,0
0,76,646,0,1,0
0,646,76,0,1,0
0,76,653,0,1,0
0,653,76,0,1,0
0,76,949,0,0,1
0,949,76,0,0,1
0,76,656,0,1,0
0,656,76,0,1,0
0,77,654,0,1,0
0,654,77,0,1,0
0,78,737,0,1,0
0,737,78,0,1,0
0,79,732,0,1,0
0,732,79,0,1,0
0,80,763,0,1,0
0,763,80,0,1,0
0,81,718,1,0,0
0,718,81,1,0,0
0,81,759,0,0,1
0,759,81,0,0,1
0,81,721,1,0,0
0,721,81,1,0,0
0,81,773,0,0,1
0,773,81,0,0,1
0,81,949,0,0,1
0,949,81,0,0,1
0,81,770,0,0,1
0,770,81,0,0,1
0,82,798,0,1,0
0,798,82,0,1,0
0,82,805,0,1,0
0,805,82,0,1,0
0,83,800,0,1,0
0,800,83,0,1,0
0,83,808,0,1,0
0,808,83,0,1,0
0,84,821,0,1,0
0,821,84,0,1,0
0,84,829,0,1,0
0,829,84,0,1,0
0,84,819,0,1,0
0,819,84,0,1,0
0,86,806,0,1,0
0,806,86,0,1,0
0,87,788,0,1,0
0,788,87,0,1,0
0,87,870,0,1,0
0,870,87,0,1,0
0,87,877,0,1,0
0,877,87,0,1,0
0,88,836,0,1,0
0,836,88,0,1,0
0,88,844,0,1,0
0,844,88,0,1,0
0,88,840,0,1,0
0,840,88,0,1,0
0,89,810,0,1,0
0,810,89,0,1,0
0,89,885,0,1,0
0,885,89,0,1,0
0,89,891,0,1,0
0,891,89,0,1,0
0,89,792,0,0,1
0,792,89,0,0,1
0,89,700,0,1,0
0,700,89,0,1,0
0,89,890,0,1,0
0,890,89,0,1,0
0,89,887,0,1,0
0,887,89,0,1,0
0,90,841,0,1,0
0,841,90,0,1,0
0,91,821,0,1,0
0,821,91,0,1,0
0,92,879,0,1,0
0,879,92,0,1,0
0,93,836,0,1,0
0,836,93,0,1,0
0,94,819,0,1,0
0,819,94,0,1,0
0,95,808,0,1,0
0,808,95,0,1,0
0,96,1106,0,1,0
0,1106,96,0,1,0
0,97,823,0,1,0
0,823,97,0,1,0
0,98,698,0,1,0
0,698,98,0,1,0
0,98,714,0,1,0
0,714,98,0,1,0
0,98,801,0,0,1
0,801,98,0,0,1
0,98,697,0,1,0
0,697,98,0,1,0
0,99,878,0,1,0
0,878,99,0,1,0
0,100,867,0,1,0
0,867,100,0,1,0
0,101,947,0,1,0
0,947,101,0,1,0
0,101,780,0,1,0
0,780,101,0,1,0
0,102,939,0,0,1
0,939,102,0,0,1
0,102,709,0,1,0
0,709,102,0,1,0
0,102,693,0,1,0
0,693,102,0,1,0
0,102,694,0,1,0
0,694,102,0,1,0
0,103,865,0,1,0
0,865,103,0,1,0
0,105,937,0,1,0
0,937,105,0,1,0
0,105,770,0,0,1
0,770,105,0,0,1
0,105,756,0,1,0
0,756,105,0,1,0
0,105,781,0,1,0
0,781,105,0,1,0
0,106,948,0,1,0
0,948,106,0,1,0
0,107,783,0,1,0
0,783,107,0,1,0
0,107,1133,0,1,0
0,1133,107,0,1,0
0,108,824,0,1,0
0,824,108,0,1,0
0,109,857,0,1,0
0,857,109,0,1,0
0,110,855,0,1,0
0,855,110,0,1,0
0,111,630,0,1,0
0,630,111,0,1,0
0,112,680,0,1,0
0,680,112,0,1,0
0,112,685,0,1,0
0,685,112,0,1,0
0,113,179,0,1,0
0,179,113,0,1,0
0,114,665,0,1,0
0,665,114,0,1,0
0,114,661,0,1,0
0,661,114,0,1,0
0,114,670,0,1,0
0,670,114,0,1,0
0,115,156,0,1,0
0,156,115,0,1,0
0,116,171,0,1,0
0,171,116,0,1,0
0,117,636,0,1,0
0,636,117,0,1,0
0,118,730,0,1,0
0,730,118,0,1,0
0,119,935,0,1,0
0,935,119,0,1,0
